tweetid,text,date,username,userid
2.76E+17,The Spongebob approach to flood control http://t.co/5VJcF958 via @gmanews #PabloPH,Wed Dec 05 00:00:13 CET 2012,ShaiPanela,16416943
2.76E+17,Do you people still remember this?Well I can't anymore.All I see is a puddle of sugar & rainbow! #PabloPH #BlackOut http://t.co/Ghi1RclC,Wed Dec 05 00:03:33 CET 2012,ToFFyMENcHaveZ,155115393
2.76E+17,@dost_pagasa: At 02:00AM 5/DEC/2012 the eye of Typhoon #PabloPH was located @210km West of Iloilo City (10.3��́N 120.5��́E). http://t.co ...,Wed Dec 05 00:04:46 CET 2012,whoaitsnadine,26439938
2.76E+17,Death toll mounts in wake of #PabloPH http://t.co/vrONw8aM,Wed Dec 05 00:05:26 CET 2012,gmanews,39453212
2.76E+17,Are Filipinos ready to face #PabloPH (international code name 'Bopha')?: http://t.co/qRaHSusp,Wed Dec 05 00:05:26 CET 2012,RanterXRanter,364718481
2.76E+17,Even Palawan is not spared from Pablo's rains/winds. #philippines #pabloPH Typhoon BOPA http://t.co/Vuhu42bC,Wed Dec 05 00:07:12 CET 2012,flipland,19431392
2.76E+17,Too complacent that #PabloPH is already afar til I saw this. Keep safe southside! http://t.co/KI3hoXrY,Wed Dec 05 00:08:46 CET 2012,14jfrance,37648340
2.76E+17,Pablo: Even Palawan not spared (typhoon BOPHA). #philippines #pabloPH via Project Noah (http://t.co/pU98O4Zj) http://t.co/SQJSb7rT,Wed Dec 05 00:09:37 CET 2012,flipland,19431392
2.76E+17," Prolly the saddest story out of the #PabloPh coverage ""Soldier drowns 20 others missing in ComVal"" http://t.co/exkULahy",Wed Dec 05 00:10:03 CET 2012,ellobofilipino,78213061
2.76E+17,"  @ANCALES: Vina Araneta reports from ComVal: ""Nakita ko mismo ang nakahilerang mga patay. 43 ang nandito ngayon."" http://t.co/STDXHX ...",Wed Dec 05 00:10:27 CET 2012,PHAT_jules,55549549
2.76E+17,"  @wunderground: Dr. Masters says ""#Typhoon #Bopha hits the Philippines at Cat 5 strength; at least 40 killed"" http://t.co/uw197zSi",Wed Dec 05 00:10:39 CET 2012,brownpau,7755
2.76E+17,Let us help our Kapatids in need! For more info: http://t.co/9ZRqn0GC #TulongKapatid #PabloPH #ReliefPH @interaksyon,Wed Dec 05 00:10:54 CET 2012,alagangkapatid,594684530
2.76E+17," So sad ""@gmanews: Death toll mounts in wake of #PabloPH http://t.co/R0W5CjT2""",Wed Dec 05 00:12:35 CET 2012,jhonnrjavier,788962189
2.76E+17,Mga bahay sa coastal areas ng Surigao del Sur winasak ni #PabloPH http://t.co/XEYQwOmU http://t.co/S2bHMqyy,Wed Dec 05 00:13:18 CET 2012,DZMMTeleRadyo,92174767
2.76E+17,"  @dost_pagasa: SEVERE WEATHER BULLETIN #11TROPICAL CYCLONE WARNING: TYPHOON ""#PabloPH�_�_��_ (BOPHA) ISSUED AT 05:00 AM 05... http://t.co ...",Wed Dec 05 00:16:11 CET 2012,jhana_sicat,635116481
2.76E+17,@rapplerdotcom: The latest updates news on Typhoon #PabloPH (#Bopha) in our LIVE BLOG: http://t.co/tKIIFhvo,Wed Dec 05 00:16:35 CET 2012,graxaTHEgreat,34875756
2.76E+17,At 07:00AM 5/DEC/2012 the eye of Typhoon #PabloPH was located @110km Northeast of Puerto Princesa City (10.3��́N... http://t.co/Yy4p3aHT,Wed Dec 05 00:16:48 CET 2012,dost_pagasa,202890266
2.76E+17,The title of the show is not apt for the news they are bringing. SMH. #PabloPh http://t.co/qfx2Vmus #GetGlue #UmagangKayGanda,Wed Dec 05 00:18:33 CET 2012,missY0_o,45758948
2.76E+17,@dzmmteleradyo #PabloPH inaasahang makakaapekto sa Metro Manila ngayong araw http://t.co/iKlFaYBd http://t.co/SllyBinT,Wed Dec 05 00:18:44 CET 2012,derickcalabio,33165320
